,Unnamed: 0,uid,id,grade,age,gender,atar,course_code,group,ese_100_percent
0,0,0,0,PS,19.0,Female,94.45,BPASOCTE-05,1,52.218045112782
1,1,1,1,CR,,,,,1,69.28571428571429
2,2,2,2,FA,18.0,Female,84.55,BPASESSC-02,1,38.984962406015
3,3,3,3,PS,,,,,1,62.59398496240601
4,4,4,4,IC,,,,,1,
5,5,5,5,PS,,,,,1,55.0
6,6,6,6,CR,19.0,Male,94.95,BPASEXPH-02,1,67.59398496240601
7,7,7,7,PS,18.0,Female,90.5,BPASEXPH-02,1,49.88721804511286
8,8,8,8,FA,,,,,1,42.63157894736843
9,9,9,9,PS,18.0,Male,85.45,BPASESSC-02,1,48.68421052631572
10,10,10,10,FA,,,,,1,42.105263157894704
11,11,11,11,PS,18.0,Male,75.5,BPASESSC-02,1,47.63157894736844
12,12,12,12,CR,21.0,Male,96.3,BPASESSC-02,1,60.30075187969929
13,13,13,13,AF,20.0,Male,84.6,BPASESSC-02,1,
14,14,14,14,PS,18.0,Female,90.05,BPASESSC-02,1,52.819548872180434
15,15,15,15,FA,20.0,Male,79.25,BPHEASCI-02,1,40.375939849624
16,16,16,16,CR,19.0,Male,98.5,BHENGINE-02,1,64.92481203007515
17,17,17,17,PS,19.0,Male,81.35,BPASESSC-02,1,43.984962406015
18,18,18,18,IC,20.0,Male,86.0,BPASESSC-02,1,
19,19,19,19,FA,27.0,Female,80.0,BPSCIENC-05,1,30.03759398496243
20,20,20,20,PS,,,,,1,63.34586466165416
21,21,21,21,CR,,,,,1,65.41353383458643
22,22,22,22,DI,18.0,Female,95.05,BPSCIENC-05,1,82.93233082706772
23,23,23,23,PS,,,,,1,52.142857142857146
24,24,24,24,PS,,,,,1,52.74436090225572
25,25,25,25,PS,19.0,Female,88.0,BPSCIENC-05,1,57.96992481203
26,26,26,26,FA,,,,,1,41.91729323308272
27,27,27,27,FA,,,,,1,35.187969924812
28,28,28,28,PS,,,,,1,59.47368421052629
29,29,29,29,PS,,,,,1,61.61654135338343
30,30,30,30,PS,18.0,Male,78.45,BPASESSC-02,1,51.91729323308272
31,31,31,31,DI,18.0,Female,92.55,BPSCIENC-05,1,84.43609022556386
32,32,32,32,PS,18.0,Male,83.0,BPASESSC-02,1,47.142857142857146
33,33,33,33,CR,20.0,Female,98.3,BPASEXPH-02,1,74.17293233082715
34,34,34,34,PS,18.0,Male,88.95,BPASESSC-02,1,46.46616541353386
35,35,35,35,FA,20.0,Female,84.0,BPASESSC-02,1,42.44360902255643
36,36,36,36,FA,18.0,Female,90.0,BPASESSC-02,1,41.76691729323315
37,37,37,37,PS,17.0,Male,87.3,BPASESSC-02,1,54.28571428571429
38,38,38,38,AF,,,,,1,
39,39,39,39,PS,,,,,1,47.85714285714286
40,40,40,40,PS,22.0,Female,89.0,BPSCIENC-05,1,58.90977443609029
41,41,41,41,FA,19.0,Female,85.0,BPASESSC-02,1,39.06015037593986
42,42,42,42,FA,18.0,Male,82.5,BPSCIAVS-01,1,44.924812030075145
43,43,43,43,IC,18.0,Female,80.85,BPSCIENC-05,1,
44,44,44,44,FA,,,,,1,39.812030075188005
45,45,45,45,DI,22.0,Female,98.0,BPSCIENC-05,1,83.04511278195487
46,46,46,46,CR,,,,,1,69.06015037593987
47,47,47,47,FA,19.0,Female,96.3,BPASOCTE-05,1,46.879699248120296
48,48,48,48,PS,18.0,Female,96.85,BPASOCTE-05,1,42.406015037594
49,49,49,49,PS,18.0,Female,79.1,BPASESSC-02,1,47.06766917293229
50,50,50,50,PS,,,,,1,47.63157894736844
51,51,51,51,PS,17.0,Female,82.95,BPASESSC-02,1,43.30827067669172
52,52,52,52,PS,,,,,1,54.81142857142856
53,53,53,53,PS,21.0,Male,87.0,BPASESSC-02,1,48.34586466165416
54,54,54,54,PS,19.0,Female,94.0,BPASOCTE-05,1,63.23308270676686
55,55,55,55,FA,19.0,Female,80.7,BPASESSC-02,1,43.90977443609029
56,56,56,56,PS,18.0,Female,91.75,BPASEXPH-02,1,64.02255639097744
57,57,57,57,FA,,,,,1,31.81000000000001
58,58,58,58,FA,18.0,Male,83.1,BPASESSC-02,1,38.23308270676686
59,59,59,59,PS,18.0,Female,89.75,BPSCIENC-05,1,60.375939849624
60,60,60,0,FA,22.0,Female,0.0,BPASEXPH-02,0,38.95
61,61,61,1,PS,17.0,Female,82.0,BPASESSC-03,0,53.68333333333334
62,62,62,2,CR,18.0,Male,94.15,BPSCIENC-05,0,60.0
63,63,63,3,FA,18.0,Female,84.2,BPASEAVS-01,0,30.53333333333333
64,64,64,4,CR,18.0,Female,96.45,BPSCIENC-05,0,71.58333333333334
65,65,65,5,PS,18.0,Male,83.2,BPASESSC-03,0,67.36666666666667
66,66,66,6,FA,17.0,Male,74.75,BPASEAVS-01,0,
67,67,67,7,PS,19.0,Male,76.15,BPASESSC-03,0,61.05
68,68,68,8,FA,18.0,Female,78.05,BPSCIENC-05,0,42.1
69,69,69,9,PS,17.0,Female,79.85,BPSCIENC-05,0,46.31666666666667
70,70,70,10,FA,19.0,Female,74.6,BPASESSC-03,0,38.95
71,71,71,11,FA,18.0,Male,83.95,BPASEAVS-01,0,24.216666666666665
72,72,72,12,FA,,,,,0,22.1
73,73,73,13,FA,,,,,0,31.58333333333333
74,74,74,14,PS,,,,,0,45.266666666666666
75,75,75,15,HD,33.0,Male,0.0,BPSCIENC-05,0,91.58333333333334
76,76,76,16,PS,18.0,Female,79.65,BPASEXPH-02,0,47.366666666666674
77,77,77,17,FA,21.0,Male,84.6,BPASESSC-02,0,
78,78,78,18,FA,26.0,Male,84.1,BPASESSC-03,0,11.583333333333334
79,79,79,19,CR,17.0,Female,90.6,BPASESSC-03,0,57.900000000000006
80,80,80,20,PS,18.0,Female,94.75,BPASEXPH-02,0,52.63333333333333
81,81,81,21,FA,24.0,Male,0.0,BPASESSC-03,0,25.26666666666667
82,82,82,22,PS,20.0,Female,84.15,BPASESSC-03,0,53.68333333333334
83,83,83,23,FA,20.0,Male,85.35,BPASESSC-03,0,21.05
84,84,84,24,PS,18.0,Female,84.85,BPASEAVS-01,0,60.0
85,85,85,25,PS,19.0,Female,88.55,BPASEAVS-01,0,42.1
86,86,86,26,FA,18.0,Female,83.95,BPASESSC-03,0,40.0
87,87,87,27,CR,,,,,0,70.53333333333333
88,88,88,28,FA,18.0,Male,76.7,BPASEAVS-01,0,21.05
89,89,89,29,FA,20.0,Female,77.35,BPSCIENC-05,0,50.53333333333334
90,90,90,30,FA,18.0,Male,59.05,BPSCIENC-05,0,31.58333333333333
91,91,91,31,PS,20.0,Male,84.55,BPASESSC-03,0,41.05
92,92,92,32,PS,17.0,Female,77.9,BPASESSC-03,0,47.366666666666674
93,93,93,33,PS,18.0,Female,83.95,BPASESSC-03,0,44.21666666666667
94,94,94,34,PS,19.0,Female,86.7,BPASESSC-03,0,45.266666666666666
95,95,95,35,FA,20.0,Female,76.3,BPHEASCI-02,0,38.95
96,96,96,36,FA,30.0,Male,0.0,NUHSUGNA-01,0,47.366666666666674
97,97,97,37,FA,20.0,Male,89.2,BPSCIAVS-01,0,28.416666666666668
98,98,98,38,FA,17.0,Female,88.05,BPASOCTE-05,0,32.63333333333333
99,99,99,39,FA,19.0,Female,84.8,BPASESSC-03,0,24.216666666666665
100,100,100,40,CR,18.0,Female,92.65,BPASPHYS-06,0,45.266666666666666
101,101,101,41,CR,,,,,0,71.58333333333334
102,102,102,42,PS,,,,,0,48.41666666666667
103,103,103,43,FA,18.0,Male,86.25,BPASEAVS-01,0,30.53333333333333
104,104,104,44,FA,,,,,0,40.0
105,105,105,45,FA,21.0,Female,75.0,BPSCIENC-05,0,28.416666666666668
106,106,106,46,CR,20.0,Female,94.0,BPASDRAD-01,0,68.41666666666667
107,107,107,47,FA,,,,,0,26.316666666666663
108,108,108,48,FA,18.0,Male,84.65,BPASESSC-03,0,21.05
109,109,109,49,FA,18.0,Male,82.9,BPASESSC-03,0,30.53333333333333
110,110,110,50,FA,17.0,Male,88.15,BPASESSC-03,0,37.9
111,111,111,51,PS,18.0,Female,59.9,BPASPHYS-06,0,45.266666666666666
112,112,112,52,FA,18.0,Male,79.75,BPASESSC-03,0,18.95
113,113,113,53,FA,17.0,Female,83.5,BPASOCTE-05,0,31.58333333333333
114,114,114,54,PS,17.0,Female,78.0,BPASESSC-03,0,58.95
115,115,115,55,PS,18.0,Female,88.15,BPSCIENC-05,0,52.63333333333333
116,116,116,56,PS,,,,,0,50.53333333333334
117,117,117,57,FA,17.0,Male,84.8,BPASESSC-03,0,41.05
118,118,118,58,CR,18.0,Male,85.05,BPASESSC-03,0,70.53333333333333
119,119,119,59,FA,17.0,Female,78.25,BPASEAVS-01,0,44.21666666666667
120,120,120,60,FA,17.0,Male,82.6,BPASESSC-03,0,33.68333333333334
121,121,121,61,FA,,,,,0,
122,122,122,62,PS,17.0,Male,77.15,BPASESSC-03,0,60.0
123,123,123,63,FA,19.0,Female,78.9,BPASESSC-03,0,34.733333333333334
124,124,124,64,PS,18.0,Male,77.3,BPASESSC-03,0,47.366666666666674
125,125,125,65,PS,18.0,Female,89.8,BPASEXPH-02,0,53.68333333333334
126,126,126,66,FA,18.0,Female,84.8,BPASESSC-03,0,29.46666666666667
127,127,127,67,FA,18.0,Female,80.15,BPASESSC-03,0,28.416666666666668
128,128,128,68,PS,18.0,Female,95.1,BPSCIENC-05,0,53.68333333333334
129,129,129,69,PS,18.0,Male,87.55,BPASEXPH-02,0,50.53333333333334
130,130,130,70,CR,19.0,Female,80.85,BPSCIENC-05,0,47.366666666666674
131,131,131,71,FA,18.0,Male,89.9,BPASEXPH-02,0,44.21666666666667
132,132,132,72,FA,19.0,Male,67.25,BPSCIENC-05,0,32.63333333333333
133,133,133,73,FA,19.0,Female,88.3,BPASOCTE-05,0,36.85
134,134,134,74,DI,18.0,Female,88.1,BPSCIENC-05,0,77.9
135,135,135,75,FA,18.0,Female,77.25,BPSCIENC-05,0,36.85
136,136,136,76,FA,18.0,Male,73.05,BPASEAVS-01,0,43.150000000000006
137,137,137,77,FA,18.0,Male,86.25,BPASEXPH-02,0,46.31666666666667
138,138,138,78,FA,17.0,Male,88.05,BPASEXPH-02,0,37.9
139,139,139,79,FA,18.0,Male,88.25,BPASEXPH-02,0,37.9
140,140,140,80,FA,17.0,Male,81.05,BPASESSC-03,0,22.1
141,141,141,81,FA,18.0,Female,85.95,BPSCIENC-05,0,51.583333333333336
142,142,142,82,PS,17.0,Female,92.8,BPASOCTE-05,0,41.05
143,143,143,83,CR,,,,,0,67.36666666666667
144,144,144,84,DI,20.0,Male,93.6,BPASDRAD-01,0,73.68333333333334
145,145,145,85,DI,18.0,Female,92.8,BPASOCTE-05,0,72.63333333333334
